district,year,dem_votes,rep_votes,total_votes,dem_voteshare,winner,uncontested,pres_dem_voteshare
1,2012,16124,16993,33146,0.48645387075363544,R,false,0.4995
2,2012,12033,17082,29141,0.4129233725678597,R,false,0.4554
3,2012,11398,17387,29987,0.3800980424850769,R,false,0.4696
4,2012,12770,16029,28839,0.44280314851416486,R,false,0.4845
5,2012,12709,16117,28850,0.4405199306759099,R,false,0.4638
6,2012,10508,15423,25961,0.4047609876352991,R,false,0.4464
7,2012,16664,0,19524,0.8535136242573244,D,true,0.5778
8,2012,7869,0,8008,0.9826423576423576,D,true,0.8712
9,2012,14635,0,14843,0.9859866603786297,D,true,0.7536
10,2012,20038,0,20299,0.9871422237548648,D,true,0.9031
11,2012,16403,0,16604,0.9878944832570465,D,true,0.8732
12,2012,16193,0,16425,0.9858751902587519,D,true,0.8038
13,2012,13258,20367,33669,0.3937746888829487,R,false,0.4201
14,2012,14490,20976,35508,0.4080770530584657,R,false,0.4286
15,2012,12668,17745,30446,0.4160809301714511,R,false,0.4537
16,2012,16881,0,17089,0.9878284276435134,D,true,0.9095
17,2012,20288,0,23943,0.8473457795597878,D,true,0.8642
18,2012,16276,0,18510,0.8793084819016748,D,true,0.8978
19,2012,24856,0,25453,0.9765450045181314,D,true,0.7132
20,2012,16995,12500,29546,0.575204765450484,D,false,0.591
21,2012,11921,17403,29357,0.4060701025309126,R,false,0.4841
22,2012,0,23817,24165,0.0,R,true,0.3489
23,2012,13669,22536,36232,0.3772631927577832,R,false,0.428
24,2012,12594,20932,33559,0.37527935874132123,R,false,0.4338
25,2012,11947,16287,28295,0.4222300759851564,R,false,0.4755
26,2012,14257,15018,29294,0.4866866935208575,R,false,0.4588
27,2012,13148,18101,31269,0.42048034794844735,R,false,0.458
28,2012,12347,15865,28241,0.4372012322509826,R,false,0.4436
29,2012,12004,15237,27287,0.43991644372778244,R,false,0.4904
30,2012,13657,17261,30938,0.44143124959596614,R,false,0.4695
31,2012,12653,16463,29151,0.4340502898699873,R,false,0.4701
32,2012,10828,15586,27294,0.3967172272294277,R,false,0.4193
33,2012,10229,18891,30087,0.33998072257121015,R,false,0.4039
34,2012,12297,19442,34016,0.3615063499529633,R,false,0.4505
35,2012,12149,15481,29045,0.4182819762437597,R,false,0.4737
36,2012,10997,15886,26902,0.4087800163556613,R,false,0.4697
37,2012,13289,15799,29172,0.45553955848073496,R,false,0.4648
38,2012,12795,19181,32781,0.39031756200237944,R,false,0.4203
39,2012,11446,17465,28933,0.3956036359865897,R,false,0.4256
40,2012,0,21127,21403,0.0,R,true,0.455
41,2012,10906,15035,25958,0.4201402265197627,R,false,0.4911
42,2012,12567,16394,28975,0.43371872303710096,R,false,0.5154
43,2012,17612,12894,30585,0.5758378290011443,D,false,0.5924
44,2012,16983,10571,27597,0.6153929774975541,D,false,0.6415
45,2012,15753,8906,24712,0.6374635804467466,D,false,0.6472
46,2012,20171,10951,31131,0.6479393530564389,D,false,0.6421
47,2012,22113,9054,31203,0.7086818575137006,D,false,0.7185
48,2012,24375,0,29296,0.8320248498088476,D,true,0.7813
49,2012,11977,14218,26235,0.45652753954640746,R,false,0.5714
50,2012,11945,12842,25533,0.46782595073042726,R,false,0.5468
51,2012,13238,14279,27539,0.4807000980427757,R,false,0.5979
52,2012,10575,16313,26899,0.3931372913491208,R,false,0.4552
53,2012,10410,15844,26285,0.3960433707437702,R,false,0.4384
54,2012,17400,11594,29058,0.5988023952095808,D,false,0.5828
55,2012,10202,19142,30408,0.3355038147855827,R,false,0.4809
56,2012,13071,18306,31407,0.4161811061228389,R,false,0.436
57,2012,19862,0,21124,0.9402575269835258,D,true,0.5977
58,2012,0,26945,27248,0.0,R,true,0.3156
59,2012,0,25172,25369,0.0,R,true,0.3157
60,2012,9682,23905,33633,0.2878720304462879,R,false,0.3213
61,2012,13186,16589,29798,0.4425129203302235,R,false,0.4486
62,2012,15054,17045,32130,0.4685340802987862,R,false,0.461
63,2012,12637,17704,30362,0.41621105329029706,R,false,0.4307
64,2012,20264,0,20926,0.9683647137532256,D,true,0.595
65,2012,18373,0,18750,0.9798933333333333,D,true,0.6785
66,2012,16830,0,17060,0.9865181711606096,D,true,0.7599
67,2012,13325,15194,28538,0.46692129791856474,R,false,0.4875
68,2012,12482,13758,26263,0.47526939039713667,R,false,0.517
69,2012,9998,15785,25806,0.38742928001240023,R,false,0.4418
70,2012,13518,13374,26936,0.5018562518562518,D,false,0.4922
71,2012,17619,11279,28968,0.6082228666114333,D,false,0.5838
72,2012,14029,14138,28185,0.4977470285612915,R,false,0.4929
73,2012,22686,0,22953,0.9883675336557313,D,true,0.618
74,2012,18582,12911,31509,0.5897362658288108,D,false,0.5855
75,2012,14456,13841,28334,0.5101997600056469,D,false,0.4814
76,2012,31663,0,31948,0.9910792537874046,D,true,0.8387
77,2012,27622,0,27801,0.9935613826840761,D,true,0.8354
78,2012,22853,0,30294,0.7543738033934112,D,true,0.7281
79,2012,24683,0,24995,0.9875175035007001,D,true,0.6139
80,2012,20864,11771,32675,0.638530986993114,D,false,0.6457
81,2012,17829,10995,28835,0.6183110802843766,D,false,0.62
82,2012,11896,18032,29972,0.39690377685840117,R,false,0.4331
83,2012,9967,23034,33024,0.3018108042635659,R,false,0.3137
84,2012,10882,18379,29325,0.37108269394714405,R,false,0.4267
85,2012,13930,13025,28026,0.4970384642831656,D,false,0.5266
86,2012,13644,17175,30867,0.4420254640878608,R,false,0.4441
87,2012,11100,15680,26795,0.41425639111774587,R,false,0.4537
88,2012,13085,14445,27566,0.4746789523325836,R,false,0.4922
89,2012,11129,16081,27232,0.40867361927144535,R,false,0.4649
90,2012,11353,7432,18856,0.6020895205770047,D,false,0.6432
91,2012,23030,0,23674,0.9727971614429332,D,true,0.6167
92,2012,20308,0,20562,0.9876471160392958,D,true,0.5653
93,2012,15114,15612,30742,0.4916401014898185,R,false,0.4762
94,2012,18566,12068,30644,0.6058608536744551,D,false,0.5213
95,2012,22531,0,22783,0.9889391212746346,D,true,0.6552
96,2012,10426,15344,25779,0.4044377206253152,R,false,0.5641
